Course Number,Course Title,Subject,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,,,,
ORGSTUDY 201,Leadership and Collaboration,ORGSTUDY,Collaborative leadership,Organizational sociology,Leadership without authority,Interdisciplinary project-based,Profiles of effective leaders,,,,
ORGSTUDY 208 / ENVIRON 208,Business and Sustainability,ORGSTUDY,Corporate social responsibility,Environmental impact analysis,Sustainability strategies,Critical corporate evaluation,Business performance metrics,,,,
ORGSTUDY 295,Social Science Topics in Organizational Studies,ORGSTUDY,Social science focus,Interdisciplinary themes,Lecture or seminar format,Organizational studies topics,Faculty-driven exploration,,,,
ORGSTUDY 391 / ENVIRON 391 / RCIDIV 391,Sustainability and the Campus,ORGSTUDY,Campus sustainability,Environmental management,Project-based learning,University-focused sustainability,Environmental impact assessment,,,,
ORGSTUDY 395,Current Issues in Organizational Studies,ORGSTUDY,Organizational studies trends,Thematic minicourses,Interactive seminar format,Upper-level topics,Intensive faculty-student interaction,,,,
ORGSTUDY 418 / ENVIRON 418,Leadership and Environmental Stewardship in Organizations,ORGSTUDY,Environmental leadership,Organizational stewardship,Decision-making skills,Teamwork for change,Environmental innovation,,,,
ORGSTUDY 420,Nonprofit Organizations,ORGSTUDY,Nonprofit sector overview,Key societal roles,Practical nonprofit skills,Service-focused organizations,American nonprofit landscape,,,,
ORGSTUDY 490,Advanced Research Team,ORGSTUDY,Collaborative research,Faculty-led projects,Experiential learning,Team-based research,Statistics recommended,,,,
ORGSTUDY 495,Special Topics in Organizational Studies,ORGSTUDY,Organizational structure,Function of organizations,Varied topics by term,Specialized organizational themes,Multiple enrollments allowed,,,,
ORGSTUDY 498,Senior Honors Research II,ORGSTUDY,Honors independent research,Organizational studies focus,Faculty mentorship,Proposal review required,Capstone research project,,,,
ORGSTUDY 499,Independent Study,ORGSTUDY,Independent research,Organizational studies internship,Faculty-guided study,Flexible credit options,Customized learning path,,,,
PAT 200,Introduction to Electronic Music Production,PAT,Electronic music basics,Composition techniques,Audio and MIDI skills,Sound synthesis and sampling,Real-time performance,,,,
PERSIAN 102,Elementary Persian II,PERSIAN,Basic Persian skills,Vocabulary building,Grammar fundamentals,Listening and speaking practice,Written Persian comprehension,,,,
PERSIAN 202,Intermediate Persian II,PERSIAN,Intermediate Persian language,Advanced grammar,Conversational skills,Cultural context,Reading and writing proficiency,,,,
PERSIAN 400,Seeds of Peace: Cross-Cultural Talk in the Middle East,PERSIAN,Cross-cultural dialogue,Middle Eastern studies,Language practice in context,Interdisciplinary themes,Weekly discussion sessions,,,,
PERSIAN 499,Independent Study in Persian,PERSIAN,Advanced Persian study,Independent research,Language immersion,Customizable topics,Faculty supervision,,,,
PHIL 101,Introduction to Philosophy,PHIL,Philosophical fundamentals,Theory of knowledge,Reality and existence,Ethics and values,Introductory survey,,,,
PHIL 183,Critical Reasoning,PHIL,Argument construction,Critical thinking skills,Statistics and logic,Ideology and objectivity,Analytical frameworks,,,,
PHIL 196,First Year Seminar,PHIL,Introductory philosophy,Small seminar format,Critical discussion,Foundational topics,Exclusive to first-year students,,,,
PHIL 215,Practicing Ethics,PHIL,Moral reasoning,Cognitive biases,Ethics in practice,Evolutionary perspectives,Applied ethical analysis,,,,
PHIL 250,Changing the World,PHIL,Global issues analysis,Health and poverty,Ethical impact assessment,Environmental ethics,Long-term human survival,,,,
PHIL 262 / RELIGION 262,Introduction to the Philosophy of Religion,PHIL,Existence of God,Evil and morality,Religion and tolerance,Monotheistic beliefs,Religious philosophy,,,,
PHIL 263 / ASIAN 263,Introduction to Chinese Philosophy,PHIL,Classical Chinese philosophy,Confucianism and Daoism,Ethical thought,Political philosophy,Neo-Confucian developments,,,,
PHIL 289,Descartes to Kant,PHIL,Early modern philosophy,Descartes and Kant,17th-18th century thought,Foundational philosophers,Rationalism and empiricism,,,,
PHIL 298,Topics in Philosophy,PHIL,Introductory philosophy,Specific philosophical issues,Historical figures,Variable topics,Philosophical themes,,,,
PHIL 303,Introduction to Symbolic Logic,PHIL,Formal logic,Truth-functional languages,Predicate logic with identity,Proof and model theory,Mathematical logic foundations,,,,
PHIL 345,Language and Mind,PHIL,Language structure,Psychology of language,Meaning and thought,Language-world relationship,Cognitive linguistics,,,,
PHIL 355,Contemporary Moral Problems,PHIL,Applied ethics,Moral issues in society,Medical ethics,Environmental ethics,Contemporary social debates,,,,
PHIL 359,Law and Philosophy,PHIL,Legal theory,Equality and discrimination,Justice and social control,Punishment and responsibility,Philosophy of law,,,,
PHIL 361,Ethics,PHIL,Moral philosophy,Foundational ethical theories,Ethics fundamentals,Moral reasoning,Introductory ethics,,,,
PHIL 362,Data and the Just Society,PHIL,Algorithmic ethics,Democracy and technology,Data fairness,Political philosophy of algorithms,Tech in society,,,,
PHIL 366,Introduction to Political Philosophy,PHIL,Political philosophy history,Renaissance to Enlightenment,Classic political texts,Philosophical theories of power,Foundational political ideas,,,,
PHIL 376 / ENVIRON 376,Environmental Ethics-Living Well with Nature,PHIL,Environmental ethics,Climate change and biodiversity,Practical moral philosophy,Human-nature relationship,Everyday environmental impact,,,,
PHIL 391 / CLCIV 367,Plato,PHIL,Plato's philosophy,Historical philosophy,Platonic themes,Classical Greek thought,In-depth textual analysis,,,,
PHIL 397,Topics in Philosophy,PHIL,Special philosophical topics,Introductory and advanced philosophy,Variable themes,Department permission required,Specific philosophical problems,,,,
PHIL 399,Independent Study,PHIL,Individual research,Philosophy-focused study,Instructor approval required,Independent learning,Personalized philosophical topics,,,,
PHIL 406,Aristotle,PHIL,Aristotelian philosophy,Systematic study,Ancient Greek philosophy,Metaphysics and ethics,Foundational Western thought,,,,
PHIL 413,Formal Philosophical Methods,PHIL,Philosophical logic,Probability and decision theory,Formal semantics,Quantitative reasoning,Contemporary philosophical methods,,,,
PHIL 416,Modal Logic,PHIL,Philosophical logic,Modal reasoning,Formal logic,Advanced logic techniques,Philosophical applications,,,,
PHIL 424,Philosophy of Quantum Mechanics,PHIL,Quantum mechanics philosophy,Non-locality and measurement,Physics-philosophy interface,Schrodinger's paradox,Formalism in philosophy,,,,
PHIL 429,Ethical Analysis,PHIL,Ethical foundations,Morality and the good life,Justifications of morality,Applied ethics,Theoretical ethics,,,,
PHIL 443,Foundations of Rational Choice Theory,PHIL,Rational choice theory,Decision-making models,Philosophy of economics,Psychology of choice,Quantitative reasoning,,,,
PHIL 467,The Enlightenment and Skepticism,PHIL,Enlightenment philosophy,Reason and skepticism,Critique of religion,Political and scientific thought,18th-century intellectual history,,,,
PHIL 475,Topics in 20th Century Philosophy,PHIL,20th-century philosophical developments,Contemporary philosophy,Modern philosophical themes,Instructor approval,Advanced philosophical study,,,,
PHIL 482,Philosophy of Mind,PHIL,Mind-body problem,Consciousness and perception,Personal identity,Philosophy of psychology,Mental concepts,,,,
PHIL 486 / WGS 486,Feminist Philosophy,PHIL,Gender and feminism,Feminist epistemology,Social and political philosophy,Theories of self and sexuality,Intersectional philosophy,,,,
PHIL 499,Senior Honors in Philosophy,PHIL,Honors thesis,Independent research,Philosophical analysis,Instructor and department permission,Advanced philosophy project,,,,
PHYSICS 102,Mini Course in the Natural Sciences,PHYSICS,Introductory science course,Physical world issues,Varying course topics,Physical sciences,Short-term course,,,,
PHYSICS 106,Everyday Physics,PHYSICS,Physics in daily life,Introductory physics concepts,Practical applications,Physical sciences,Non-technical approach,,,,
PHYSICS 115,Principles of Physics,PHYSICS,Foundations of physics,Problem-solving techniques,Introductory physics,Conceptual physics,Physics preparation,,,,
PHYSICS 121,Physics of Architecture and Design,PHYSICS,Physics in architecture,Force and motion,Energy and circuits,Fluid dynamics,Applied physics in design,,,,
PHYSICS 140,General Physics I,PHYSICS,Classical mechanics,Newtonian physics,Energy and motion,Waves and sound,Physics for physical sciences,,,,
PHYSICS 141,Elementary Laboratory I,PHYSICS,Laboratory work,Physics experiments,Hands-on learning,Physics fundamentals,Introductory lab,,,,
PHYSICS 150 / BIOPHYS 150,Fundamental Physics for the Life Sciences I,PHYSICS,Life sciences physics,Mechanics and energy,Fluids and thermodynamics,MCAT syllabus,Calculus-based physics,,,,
PHYSICS 151 / BIOPHYS 151,Physics for the Life Sciences Laboratory I,PHYSICS,Life sciences lab,Experimental physics,Data analysis,Mechanics lab,Biophysics focus,,,,
PHYSICS 160,Honors Physics I,PHYSICS,Honors physics,Mechanics with modern perspective,Physical sciences advanced,Calculus-based physics,Physics for future researchers,,,,
PHYSICS 161,Honors Introductory Mechanics Lab,PHYSICS,Honors lab,Experimental mechanics,Physics measurements,Computing techniques,Advanced physics lab,,,,
PHYSICS 210 / ENVIRON 210,Sustainable Energy Futures,PHYSICS,Sustainable energy,Renewable energy systems,Energy physics,Environmental justice,Energy transition,,,,
PHYSICS 240,General Physics II,PHYSICS,Electricity and magnetism,Advanced mechanics,Energy systems,Electrical circuits,Physics for physical sciences,,,,
PHYSICS 241,Elementary Laboratory II,PHYSICS,Electricity and magnetism lab,Physics experiments,Data analysis,Hands-on learning,Experimental physics,,,,
PHYSICS 250 / BIOPHYS 250,Fundamental Physics for the Life Sciences II,PHYSICS,Life sciences physics,Electromagnetism,Optics and waves,Atomic and nuclear physics,MCAT syllabus,,,,
PHYSICS 251 / BIOPHYS 251,Physics for the Life Sciences Laboratory II,PHYSICS,Life sciences lab,Experimental physics,Electricity and magnetism,Lights and wave phenomena,Physics measurements,,,,
PHYSICS 260,Honors Physics II,PHYSICS,Honors physics,Electromagnetic theory,Physical sciences advanced,Calculus-based physics,Physics for future researchers,,,,
PHYSICS 261,Honors Electricity and Magnetism Lab,PHYSICS,Honors lab,Electricity and magnetism,Physics experiments,Data analysis,Advanced physics lab,,,,
PHYSICS 280,Topics in Physics,PHYSICS,Physics topics,Compelling physics issues,Societal relevance,Scientific literacy,Introductory course,,,,
PHYSICS 288,Physics of Music,PHYSICS,Physics and music,Acoustic phenomena,Scientific literacy,Musical acoustics,Physics of sound,,,,
PHYSICS 290 / BIOPHYS 290,Physics of the Body and Mind,PHYSICS,Physics of biology,Body and mind physics,Medical physics,Biological function,Physics in life sciences,,,,
PHYSICS 340,"Waves, Heat, and Light",PHYSICS,Thermodynamics,Light and optics,Wave equation,Special relativity,Advanced physics topics,,,,
PHYSICS 351,Methods of Theoretical Physics I,PHYSICS,Mathematical physics,Physics theories,Undergraduate physics majors,Physics mathematics foundation,Theoretical physics methods,,,,
PHYSICS 360,Honors Physics III,PHYSICS,Honors physics,Thermodynamics,Light and optics,Wave equation,Special relativity advanced,,,,
PHYSICS 390,Introduction to Modern Physics,PHYSICS,Quantum mechanics,Modern physics research,Statistical mechanics,Condensed matter physics,Particle physics and cosmology,,,,
PHYSICS 391,Introduction to Modern Physics Lab,PHYSICS,Modern physics lab,Hands-on physics experience,Quantum mechanics experiments,Physics data analysis,Experimental physics,,,,
PHYSICS 401,Intermediate Mechanics,PHYSICS,Newtonian mechanics,Lagrangian mechanics,Harmonic oscillators,Planetary motion,Mechanics of rigid bodies,,,,
PHYSICS 405,Intermediate Electricity and Magnetism,PHYSICS,Electricity and magnetism,Maxwell's equations,Electromagnetic induction,Static electric fields,Electric fields in matter,,,,
